-- ============================================================================
-- Query 05: Storm Onset Detail — All ASH Samples 08:42 to 08:48
-- ============================================================================
-- Database: POST2P (DBID: 2771519206)
-- Snap Range: 233938 - 233941 (09-MAR-2026 08:00 to 09:30)
-- Purpose: Capture every ASH sample at the exact start of the mutex storm to identify the first holder
-- 
-- SQL Query:
--   SELECT sample_time, session_id, session_serial#, user_id,
--          sql_id, sql_opname, module, machine, program,
--          event, session_state,
--          blocking_session, blocking_session_serial#
--   FROM   dba_hist_active_sess_history
--   WHERE  dbid = 2771519206
--     AND  snap_id BETWEEN 233938 AND 233941
--     AND  sample_time BETWEEN
--          TO_TIMESTAMP('2026-03-09 08:42:00','YYYY-MM-DD HH24:MI:SS') AND
--          TO_TIMESTAMP('2026-03-09 08:48:00','YYYY-MM-DD HH24:MI:SS')
--   ORDER BY sample_time, session_id;
-- 
-- Notes: 7,108 rows — shows SID 3082 as first holder at 08:47:12
-- ============================================================================
SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,USER_ID,SQL_ID,SQL_OPNAME,MODULE,MACHINE,PROGRAM,EVENT,SESSION_STATE,BLOCKING_SESSION,BLOCKING_SESSION_SERIAL#
09-MAR-26 08.45.21.635000000 AM,1061,1,0,,,,dru104a,oracle@dru104a (DBW0),,ON CPU,,
09-MAR-26 08.45.21.635000000 AM,1296,36768,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P003),db file sequential read,WAITING,,
09-MAR-26 08.45.21.635000000 AM,1697,3,0,,,,dru104a,oracle@dru104a (DBW6),,ON CPU,,
09-MAR-26 08.45.21.635000000 AM,1942,8775,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.45.21.635000000 AM,3733,55781,489,,,JDBC Thin Client,drvl249.mtnirancell.ir,JDBC Thin Client,,ON CPU,,
09-MAR-26 08.45.21.635000000 AM,9967,14011,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P004),db file sequential read,WAITING,,
09-MAR-26 08.45.21.635000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.45.21.635000000 AM,7436,60171,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P000),db file sequential read,WAITING,,
09-MAR-26 08.45.21.635000000 AM,8506,55729,65,,,JDBC Thin Client,drvl675.mtnirancell.ir,JDBC Thin Client,,ON CPU,,
09-MAR-26 08.45.21.635000000 AM,8693,62883,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P001),db file sequential read,WAITING,,
09-MAR-26 08.45.21.635000000 AM,9016,34905,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P002),db file sequential read,WAITING,,
09-MAR-26 08.45.21.635000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.45.31.783000000 AM,1697,3,0,,,,dru104a,oracle@dru104a (DBW6),,ON CPU,,
09-MAR-26 08.45.31.783000000 AM,1296,36768,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P003),db file sequential read,WAITING,,
09-MAR-26 08.45.31.783000000 AM,1706,17945,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.45.31.783000000 AM,9967,14011,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P004),db file sequential read,WAITING,,
09-MAR-26 08.45.31.783000000 AM,9016,34905,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P002),db file sequential read,WAITING,,
09-MAR-26 08.45.31.783000000 AM,8693,62883,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P001),db file sequential read,WAITING,,
09-MAR-26 08.45.31.783000000 AM,7436,60171,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P000),db file sequential read,WAITING,,
09-MAR-26 08.45.31.783000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.45.31.783000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.45.31.783000000 AM,2439,3,0,,,,dru104a,oracle@dru104a (LGWR),log file parallel write,WAITING,,
09-MAR-26 08.45.41.893000000 AM,1296,36768,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P003),,ON CPU,,
09-MAR-26 08.45.41.893000000 AM,9967,14011,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P004),db file sequential read,WAITING,,
09-MAR-26 08.45.41.893000000 AM,9016,34905,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P002),db file sequential read,WAITING,,
09-MAR-26 08.45.41.893000000 AM,8693,62883,267,809jz9k6wu41m,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P001),db file sequential read,WAITING,,
09-MAR-26 08.45.41.893000000 AM,1803,3,0,,,,dru104a,oracle@dru104a (DBW8),,ON CPU,,
09-MAR-26 08.45.41.893000000 AM,5848,3971,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.45.41.893000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
